DCC2CEC9-F436-420D-B19B-92F182AABF89,37,b207825002,656958087,OCoLC,z,d,ODN0000316643,z,True,True,,2,2,False
D95F4E7D-9A7A-48BE-8533-8EC72658F416,37,b205060456,423381684,OCoLC,z,d,ODN0000246282,z,True,True,,1,1,False
DD1EBEB1-2B79-43A3-9A77-38D4DDD14D95,37,b205060523,123959922,OCoLC,z,d,ODN0000123807,z,True,True,,1,1,False
9B10E8CD-BA56-41E3-BE20-4974017E9F74,37,b205382216,900606887,OCoLC,z,d,ODN0002013105,z,True,True,,2,2,False
CA9CAAF7-1BE4-4BD8-819F-5EA73EF0563A,37,b207824824,646843858,OCoLC,z,d,ODN0001273880,z,True,True,,1,1,False
15659AFA-651B-4B40-B693-DFE28124705C,37,b205870636,874877175,OCoLC,z,d,ODN0001329270,z,True,True,,1,1,False
764EF811-9A00-4993-8B58-610F402B0ABA,37,b207829111,874180354,OCoLC,z,d,ODN0002159075,z,True,True,,1,1,False
086D9876-667D-4688-B56B-00F2C8FC1437,37,b207829895,903973182,OCoLC,z,d,ODN0002158009,z,True,True,,2,2,False
B73AE6CE-318D-4D74-A76F-4668DBFBB90F,37,b207829457,884646172,OCoLC,z,d,ODN0002159444,z,True,True,,1,1,False
174CD554-FD14-4E84-AEA0-28A81CDDA6F1,37,b207829585,897341228,OCoLC,z,d,ODN0002159722,z,True,True,,1,1,False
81D5FCF6-A7B0-45B9-B44E-4C366587FD4C,37,b206139445,906831458,OCoLC,z,d,ODN0001895392,z,False,True,,0,1,False
64459AB2-526B-4EBD-95DD-F17D774C1220,37,b206301820,906814824,OCoLC,z,d,ODN0001914108,z,True,True,,1,1,False
4C1002B1-447E-4F9F-83A8-87720970DDCE,37,b206324443,907942506,OCoLC,z,d,ODN0002189878,z,False,True,,0,2,False
9D5E8DAB-61F3-494D-9B1E-6959F62A3718,37,b207399189,912874104,OCoLC,z,d,ODN0002115311,z,True,True,,1,1,False
23575666-36F4-4CE5-A398-BC0E8597A118,37,b207494368,259870283,OCoLC,z,d,ODN0000171113,z,True,True,,2,2,False
F51D9751-162D-4447-B355-A147385EAACB,37,b207599786,915139255,OCoLC,z,d,ODN0002307313,z,False,True,,0,1,False
8200B7E4-7995-42F2-910D-95025E448A54,37,b207599920,915139578,OCoLC,z,d,ODN0002307310,z,True,True,,1,1,False
9570E8CD-ABAB-4E56-BAFC-3AA88AE9B445,37,b207600697,915588634,OCoLC,z,d,ODN0002307502,z,True,True,,1,1,False
AD9F0335-299B-41E2-948C-1148CCB063A9,37,b207601720,915593524,OCoLC,z,d,ODN0002314082,z,True,True,,1,1,False
EBDC05B5-B85F-4AC9-8E93-5CE828A9AFD3,37,b207602505,915595568,OCoLC,z,d,ODN0002310007,z,True,True,,1,1,False
4C647D95-B474-4AC7-A7DB-DA0BCE82D160,37,b207602888,915596840,OCoLC,z,d,ODN0002309969,z,True,True,,1,1,False
0F69A1AA-CB8C-4C47-81A6-AB469FDC05C3,37,b207651693,319691048,OCoLC,z,d,ODN0002308608,z,True,True,,1,1,False
EA6FEB60-4385-4870-9926-F15739D4F4DE,37,b207651711,496755818,OCoLC,z,d,ODN0002313335,z,True,True,,1,1,False
4F276A06-6146-4645-B938-680DC574499E,37,b207651759,551369428,OCoLC,z,d,ODN0002308542,z,True,True,,1,1,False
0D25C525-891F-49E9-B4D5-A2AEC463E7D2,37,b207652053,705955011,OCoLC,z,d,ODN0002313048,z,True,True,,1,1,False
B2600432-5120-427E-B3A6-CDBBA504638A,37,b207652223,801405450,OCoLC,z,d,ODN0002314188,z,True,True,,1,1,False
A958C304-FD1D-45D2-A4AF-7F0A51A7C4F8,37,b207652831,900287567,OCoLC,z,d,ODN0002313565,z,True,True,,1,1,False
636AD2FB-F17D-4344-8379-14081F5F3A22,37,b20765296x,904721936,OCoLC,z,d,ODN0002307911,z,True,True,,1,1,False
B53C86C1-9A91-4EDA-9400-117F0A159511,37,b207653288,915973284,OCoLC,z,d,ODN0002307285,z,True,True,,1,1,False
7B10D7BD-5326-49D4-A16B-7CCAE1E1EB5E,37,b207653574,915976103,OCoLC,z,d,ODN0002307889,z,False,True,,0,1,False
208057FB-9A76-43F0-8E22-22BF061632A6,37,b207653598,915976418,OCoLC,z,d,ODN0002307903,z,True,True,,1,1,False
DB60AB31-5C00-435B-9E0A-D21B284D1184,37,b207653628,915976666,OCoLC,z,d,ODN0002308020,z,True,True,,1,1,False
6418BEBB-47FD-47F2-98EC-EB1004F07ED6,37,b207653690,915977125,OCoLC,z,d,ODN0002308228,z,True,True,,1,1,False
8663C0EE-F525-4935-9B55-EB64236D3562,37,b207653835,915978273,OCoLC,z,d,ODN0002308421,z,True,True,,1,1,False
A8DCCD95-40E3-4F1E-B7B5-5263986B0FB9,37,b207653938,915979117,OCoLC,z,d,ODN0002308628,z,True,True,,1,1,False
6A4F0D89-DF9A-4507-8AEB-BB90E981D3AC,37,b207653975,915979390,OCoLC,z,d,ODN0002309811,z,True,True,,1,1,False
C9EC7FDB-DD69-4929-8AD2-19B39123DAF6,37,b207654074,915980090,OCoLC,z,d,ODN0002307324,z,True,True,,1,1,False
09A7E170-26ED-4005-A976-8D93FF90AA9D,37,b207654128,915980505,OCoLC,z,d,ODN0002307377,z,True,True,,1,1,False
820AC9AB-8C6D-41F9-B078-1019CDD3640A,37,b207654311,915981862,OCoLC,z,d,ODN0002307699,z,True,True,,1,1,False
E3587344-BAA7-42DD-874E-20B82D96E2C6,37,b207654505,915982699,OCoLC,z,d,ODN0002308169,z,True,True,,1,1,False
3799300D-4663-4300-A425-4E2D71402FEF,37,b207654840,915991091,OCoLC,z,d,ODN0002307254,z,True,True,,3,3,False
44591B06-DA4C-4DF4-BC97-2B48AD1223D2,37,b207654955,915992063,OCoLC,z,d,ODN0002310795,z,True,True,,1,1,False
C9B78FBE-E111-404A-8180-0ACB15221B1E,37,b207655005,915992391,OCoLC,z,d,ODN0002310941,z,True,True,,1,1,False
2294C947-6701-4890-94B2-4E01C71A4E79,37,b207655145,915993344,OCoLC,z,d,ODN0002312850,z,True,True,,1,1,False
D67A71AE-46C9-4FEE-97B3-67D1681335F9,37,b207655157,915993371,OCoLC,z,d,ODN0002312799,z,True,True,,1,1,False
908C7658-8C3A-48DF-9588-104DBB6EA7C1,37,b207655303,915994429,OCoLC,z,d,ODN0002313248,z,True,True,,1,1,False
9FE05C0C-D9AF-4D1C-A320-8019AA36593F,37,b207655406,915995219,OCoLC,z,d,ODN0002313500,z,False,True,,0,1,False
245736A0-B4F2-4E20-AA71-B1D6013D3C94,37,b207655492,915996070,OCoLC,z,d,ODN0002313954,z,True,True,,1,1,False
3CA6720C-BEC7-4B7B-A860-EDDB1D63B56A,37,b207655546,915996261,OCoLC,z,d,ODN0002313985,z,True,True,,1,1,False
1D5A2B4C-A6FC-40E4-B2F5-B6BB561A77E4,37,b20765587x,915998975,OCoLC,z,d,ODN0002308124,z,True,True,,1,1,False
7F9F70E2-333D-4D5B-8B1F-4921C611ECE0,37,b207655960,915999426,OCoLC,z,d,ODN0002308184,z,True,True,,1,1,False
AE8DCA82-4915-422E-9C75-F9C27F189CE3,37,b20765640x,916002927,OCoLC,z,d,ODN0002307548,z,True,True,,1,1,False
3C01C163-9BF9-4A6A-9284-82937183E497,37,b207656526,916003817,OCoLC,z,d,ODN0002307720,z,True,True,,1,1,False
64FA97BF-6160-435F-87C4-5CDEFCF0A9F4,37,b207656599,916004471,OCoLC,z,d,ODN0002307870,z,True,True,,1,1,False
B5A3E875-28C9-4942-B9EF-FF47644B5EA7,37,b207656642,916004887,OCoLC,z,d,ODN0002308119,z,True,True,,1,1,False
E8B14492-BA54-4C6B-B29A-F108496A92FD,37,b207656873,916006657,OCoLC,z,d,ODN0002308387,z,True,True,,1,1,False
95266ACF-2097-4FB2-8D20-99794244A1E1,37,b207657233,916009096,OCoLC,z,d,ODN0002310730,z,True,True,,1,1,False
0575E2B9-1402-49FD-B98A-9D6A2BA11BF6,37,b207657580,916012656,OCoLC,z,d,ODN0002307295,z,True,True,,1,1,False
70289DC0-B6D3-43EE-AC6C-806DD1BB2550,37,b207657695,916013451,OCoLC,z,d,ODN0002307361,z,True,True,,1,1,False
C104DCAB-BB18-4EF7-B90C-F3456B95F430,37,b207658092,916016649,OCoLC,z,d,ODN0002308158,z,True,True,,1,1,False
5BE3E304-0B14-4F12-9F98-518CA7B81C7F,37,b207658171,916017487,OCoLC,z,d,ODN0002308318,z,True,True,,1,1,False
43734BB8-5837-4F7D-B030-EA4AE3DDFD11,37,b207658183,916017510,OCoLC,z,d,ODN0002308363,z,True,True,,1,1,False
83B2F2A4-0077-4D1D-B4EA-C8CE392840AB,37,b207658195,916017528,OCoLC,z,d,ODN0002308386,z,True,True,,1,1,False
B4039714-2E22-494C-BD18-32F880796A83,37,b207658249,916017993,OCoLC,z,d,ODN0002307269,z,True,True,,1,1,False
EFC63D84-2BCD-4FD0-BEE2-887C9DBC4452,37,b20765847x,916019760,OCoLC,z,d,ODN0002307628,z,True,True,,1,1,False
27891116-C4C9-4B30-983F-634AF4351280,37,b207658572,916020527,OCoLC,z,d,ODN0002307718,z,True,True,,1,1,False
26A865EE-C233-464C-9A07-E8B88CAEB0CC,37,b207658651,916021222,OCoLC,z,d,ODN0002307892,z,True,True,,1,1,False
8F91F7F7-C886-449D-91B8-36A2EC455055,37,b207658973,916024230,OCoLC,z,d,ODN0002307437,z,True,True,,1,1,False
B3FD3B37-A9D7-4B17-9FD0-466D3C223475,37,b207659102,916025392,OCoLC,z,d,ODN0002307673,z,True,True,,1,1,False
37F0C111-2972-4DBD-A2FA-6021CD65BE11,37,b207659138,916025637,OCoLC,z,d,ODN0002307832,z,True,True,,1,1,False
6DBBB703-28AF-411D-8206-4F4567A4D83B,37,b207659357,916027254,OCoLC,z,d,ODN0002308279,z,True,True,,1,1,False
1F8EC1E8-D59C-423A-8998-6AA7EB08890D,37,b207659400,916027600,OCoLC,z,d,ODN0002308399,z,True,True,,1,1,False
F3EA7E4A-790A-47B5-83B5-0E3BCE964D49,37,b207659606,916029125,OCoLC,z,d,ODN0002307389,z,True,True,,1,1,False
F769B33F-B942-4D6A-A95D-88CE74724E1C,37,b207659758,916030027,OCoLC,z,d,ODN0002307563,z,True,True,,1,1,False
AAFC881D-47FB-455B-85FE-61288070D70B,37,b207659898,916031246,OCoLC,z,d,ODN0002307914,z,True,True,,1,1,False
D8066021-B879-4279-97D7-39EEA0C62FAB,37,b207659989,916031829,OCoLC,z,d,ODN0002308133,z,True,True,,1,1,False
B9DC0313-5C88-41F0-B430-3BEF44C9DD46,37,b207660074,916032685,OCoLC,z,d,ODN0002308241,z,True,True,,1,1,False
2E39DFB0-208E-4679-ABA2-683B7B7B7EC5,37,b207660165,916033295,OCoLC,z,d,ODN0002308323,z,True,True,,1,1,False
E9F4D297-6B45-4C16-B0D7-F208BFABCD8E,37,b207660207,916033512,OCoLC,z,d,ODN0002308339,z,True,True,,1,1,False
7A6C1108-8615-46B2-80E4-C76D819DE8C6,37,b207660372,916034683,OCoLC,z,d,ODN0002308545,z,True,True,,1,1,False
5FF16F16-70A1-4B69-BE24-B7BC2DDBDC21,37,b207660785,916037968,OCoLC,z,d,ODN0002313157,z,True,True,,1,1,False
11FAD1E3-E13C-4669-A1C5-D0540F012FC0,37,b207661364,916042677,OCoLC,z,d,ODN0002308482,z,True,True,,1,1,False
F367FA6D-1B00-4A45-9C91-1CE3828D62E7,37,b207661637,916044934,OCoLC,z,d,ODN0002311164,z,True,True,,2,2,False
8E40895A-E621-4ED7-971A-92697BCE0E3B,37,b207661704,916045472,OCoLC,z,d,ODN0002311376,z,True,True,,1,1,False
3B5A9D7F-4F29-48FC-838C-606C19275D04,37,b207661959,916047412,OCoLC,z,d,ODN0002308224,z,True,True,,1,1,False
25C65F07-85F0-43A9-869D-E9160B232822,37,b207662162,916049010,OCoLC,z,d,ODN0002308448,z,True,True,,1,1,False
D2D71582-3B6C-4757-9E8C-DB4A1B348DAB,37,b207662241,916049871,OCoLC,z,d,ODN0002308566,z,True,True,,1,1,False
088BB01E-A997-4E0E-B28A-CF082F8D91C7,37,b207662769,916054650,OCoLC,z,d,ODN0002310561,z,True,True,,1,1,False
CA3EF76F-F6A8-447A-89B7-9BEADC86F523,37,b207662812,916055085,OCoLC,z,d,ODN0002310771,z,True,True,,1,1,False
0D819AC2-08ED-4216-81B1-3B173B6B2D8E,37,b207662915,916055733,OCoLC,z,d,ODN0002311430,z,True,True,,1,1,False
480A5AE8-951F-4F8F-8605-ADC2CA4B02EE,37,b207663208,916057841,OCoLC,z,d,ODN0002308565,z,True,True,,1,1,False
BA14C16C-8C7C-4A0E-B7DC-359FA5D37CAD,37,b207663403,916059702,OCoLC,z,d,ODN0002310296,z,True,True,,1,1,False
B453A9CC-EFEE-4142-8EBB-9C39050D9537,37,b207663415,916059730,OCoLC,z,d,ODN0002310445,z,True,True,,1,1,False
4D187C1B-93D7-40E4-BA65-60F467A9700A,37,b207663440,916059984,OCoLC,z,d,ODN0002310673,z,True,True,,1,1,False
36AD9D9F-26AF-4A57-B6C3-CB8EC9E00CBC,37,b207663476,916060371,OCoLC,z,d,ODN0002310917,z,True,True,,1,1,False
4B561995-222E-4A4B-93CA-AE22F00AA2F7,37,b20766352x,916060717,OCoLC,z,d,ODN0002311135,z,True,True,,1,1,False
C2C8C42F-A525-41A1-8825-D5FDA117B8B7,37,b207663580,916061387,OCoLC,z,d,ODN0002311549,z,True,True,,1,1,False
332B83A1-3235-4BD5-909F-8D2FBD8966C1,37,b207663750,916062753,OCoLC,z,d,ODN0002308355,z,True,True,,1,1,False
908ECCD0-B3FF-4409-B829-9C93920F000F,37,b207663804,916063101,OCoLC,z,d,ODN0002308412,z,True,True,,1,1,False
94A8408D-63D3-47EE-BEF8-51E91EBE89C0,37,b207664559,916070773,OCoLC,z,d,ODN0002313702,z,True,True,,1,1,False
121064C7-8B70-4C07-AA5B-765E606A8020,37,b207664808,916073327,OCoLC,z,d,ODN0002313303,z,True,True,,1,1,False
15BF8675-3C27-43D6-ADC3-B0DE1B5A0DCB,37,b207665278,916077567,OCoLC,z,d,ODN0002314015,z,False,True,,0,1,False
9CDFDB35-AAF8-484E-83DC-2247F02C61AF,37,b207665333,916078168,OCoLC,z,d,ODN0002314063,z,True,True,,1,1,False
7AE5EFA5-F9A3-40AA-B1DA-FD7FC34F1B6B,37,b207665497,916079434,OCoLC,z,d,ODN0002313361,z,True,True,,1,1,False
3E47FEDD-EFA9-4783-81AA-9F429467E567,37,b207665758,916081765,OCoLC,z,d,ODN0002314163,z,True,True,,1,1,False
6C57FAE0-39AC-46ED-A3B3-F5224570218A,37,b207666301,794979863,OCoLC,z,d,ODN0002311062,z,True,True,,1,1,False
3642D742-DF3C-4C1E-8FDA-614CEBD1B4BC,37,b207675879,761203965,OCoLC,z,d,ODN0002311368,z,True,True,,1,1,False
7342A2AD-63A9-4F98-9889-638F9E5FC073,37,b20767677x,917589277,OCoLC,z,d,ODN0002307615,z,True,True,,1,1,False
AFA160A9-1079-4307-AF2F-5E66769002F7,37,b207676847,917591643,OCoLC,z,d,ODN0002309202,z,True,True,,1,1,False
746FF29C-B670-4073-A5B0-3601DCBF9FAE,37,b20767713x,917602404,OCoLC,z,d,ODN0002338039,z,True,True,,1,1,False
C5910583-1074-4E94-BAF1-702297A7B19F,37,b207677426,917604396,OCoLC,z,d,ODN0002338161,z,True,True,,1,1,False
5829A555-E0A8-452F-9F92-F0E79E0EE423,37,b20767811x,917627922,OCoLC,z,d,ODN0002310560,z,True,True,,1,1,False
0C40578E-C2D7-41E3-B5DB-B430649B297E,37,b207778589,915582462,OCoLC,z,d,ODN0002192350,z,False,True,,0,1,False
0613B285-7A24-43C6-811C-F7B731E9C58B,37,b207778772,916044224,OCoLC,z,d,ODN0002309995,z,True,True,,1,1,False
69BAFFC2-CACF-4CFC-B088-4E314148DA9C,37,b207778814,916073213,OCoLC,z,d,ODN0002313286,z,True,True,,1,1,False
0A865985-F363-48B7-8E6F-80B529106A21,37,b20782423x,314833168,OCoLC,z,d,ODN0002309451,z,True,True,,1,1,False
BF736374-F807-401B-B195-66CAC040A33D,37,b207824289,319690993,OCoLC,z,d,ODN0002337815,z,True,True,,1,1,False
DF6F48B8-E980-4D36-A74C-59522B3978BE,37,b207824356,568922059,OCoLC,z,d,ODN0002338077,z,True,True,,1,1,False
6D75B84C-C366-4734-B83F-2A4A1B78D4AA,37,b20782440x,583217340,OCoLC,z,d,ODN0002309311,z,True,True,,1,1,False
D5077698-7238-4079-8704-E6D0A013473C,37,b20782471x,609854308,OCoLC,z,d,ODN0002311006,z,True,True,,1,1,False
3D2D753C-CF3F-47AF-A1A3-990D2B138D9F,37,b207824976,654353920,OCoLC,z,d,ODN0002309567,z,True,True,,1,1,False
41A857B7-741D-4A5F-86B0-D60EC94739E6,37,b207825178,681418158,OCoLC,z,d,ODN0002309151,z,True,True,,1,1,False
9A956CD6-6CC2-4BC0-A57A-ABC5D3AB4166,37,b207825336,706013919,OCoLC,z,d,ODN0002308030,z,True,True,,1,1,False
2D405143-07FE-4CDA-A977-7C844AA9DD0D,37,b207825397,720822782,OCoLC,z,d,ODN0002311529,z,True,True,,1,1,False
1A29742E-D4AA-4D6F-A0DE-69B9B2153220,37,b207825610,769664058,OCoLC,z,d,ODN0002310010,z,True,True,,1,1,False
D32A7607-7D5C-4457-B80E-132DC139632A,37,b207826109,830170597,OCoLC,z,d,ODN0002309427,z,True,True,,1,1,False
CDB2001E-3318-41D1-BF97-B4B39A56E249,37,b207826262,841333970,OCoLC,z,d,ODN0002309714,z,True,True,,1,1,False
80D11C55-BB46-4FE0-BB3A-B0EC3CD57788,37,b207826419,841333991,OCoLC,z,d,ODN0002309486,z,True,True,,1,1,False
417F2AFE-7E95-48A4-910E-2678A4DC9592,37,b207826717,841334036,OCoLC,z,d,ODN0002311383,z,True,True,,1,1,False
BB5BCF26-D110-430B-9030-41B66AD81335,37,b207826833,855704362,OCoLC,z,d,ODN0002309418,z,True,True,,1,1,False
D52A601A-5331-4498-925C-037C3ED2513D,37,b207827096,859200991,OCoLC,z,d,ODN0002309976,z,False,True,,0,1,False
52B25FA3-4026-4C52-A771-7550107D4B33,37,b207827102,859200997,OCoLC,z,d,ODN0002309111,z,True,True,,1,1,False
6DE87ECA-3F0C-44B6-ACCE-65637845B654,37,b207827382,859325024,OCoLC,z,d,ODN0002309241,z,True,True,,1,1,False
81EEC77D-B284-4F72-8CF1-2D3C6BA0A961,37,b207827692,860770801,OCoLC,z,d,ODN0002309716,z,True,True,,1,1,False
0F4E2471-5B06-43F1-9089-3967D53E9A57,37,b207827953,860833447,OCoLC,z,d,ODN0002310796,z,True,True,,1,1,False
5781DE59-40C4-4B9A-BD64-A494CCCAA086,37,b207828040,861220020,OCoLC,z,d,ODN0002309667,z,True,True,,1,1,False
88BAD953-85A5-406E-8846-9530F057273B,37,b207828118,861508433,OCoLC,z,d,ODN0002309569,z,True,True,,1,1,False
EDB3953F-D1AA-4AB4-ADC2-26432BB0B776,37,b207828258,861508707,OCoLC,z,d,ODN0002311005,z,True,True,,1,1,False
F71EA26C-3F5D-45CA-BDF1-6108F846DF85,37,b207828271,861508712,OCoLC,z,d,ODN0002309656,z,True,True,,1,1,False
F4795CDB-D07F-4BAB-8439-31B3C7030A9E,37,b207828404,861508988,OCoLC,z,d,ODN0002310647,z,True,True,,1,1,False
2DFA067A-138F-4E0F-8A13-6131D7847BA3,37,b207828465,861509049,OCoLC,z,d,ODN0002309437,z,True,True,,1,1,False
420C938F-56A6-4CF6-846E-37C8681556AC,37,b207828477,861509054,OCoLC,z,d,ODN0002309388,z,True,True,,1,1,False
C708964D-8BE7-4A3B-840E-F105AA0C3E50,37,b207828507,861509114,OCoLC,z,d,ODN0002310760,z,True,True,,1,1,False
4A0EE5AC-69A0-40B9-ABE0-D208A9185CD2,37,b207828647,861787230,OCoLC,z,d,ODN0002311188,z,True,True,,1,1,False
02845BB9-3B28-43CE-8CD3-EE07BF2F82CB,37,b207828714,865580018,OCoLC,z,d,ODN0002323279,z,True,True,,1,1,False
8DB31F85-9A3B-45D6-8C03-0349B6560DFE,37,b207828751,867135663,OCoLC,z,d,ODN0002309877,z,True,True,,1,1,False
2C9EA98D-0250-4507-A9CF-16379FFDAFF2,37,b207828829,867139220,OCoLC,z,d,ODN0002309858,z,True,True,,1,1,False
3FE26EBE-AD0A-4FFF-B306-9C563FC88671,37,b207829044,871069543,OCoLC,z,d,ODN0002310860,z,True,True,,1,1,False
3613C58D-A653-4A06-AD07-5724AC59D897,37,b20782910x,873818998,OCoLC,z,d,ODN0002309489,z,True,True,,1,1,False
4FA12650-F5C1-4F25-8F5D-B7F331BBB3FE,37,b207829299,881684220,OCoLC,z,d,ODN0002311464,z,True,True,,1,1,False
3CD84435-5C1A-492D-8C7B-9DB6D0A6929F,37,b207830204,918139746,OCoLC,z,d,ODN0002307522,z,True,True,,1,1,False
3444B331-8A55-4CEA-9CBF-2F08FB4A7262,37,b207830228,918141200,OCoLC,z,d,ODN0002336721,z,True,True,,1,1,False
3A797E8C-5BE2-49C4-9598-43391D9BF8B0,37,b207830411,918187730,OCoLC,z,d,ODN0002336660,z,True,True,,1,1,False
24D6D329-BD73-43F4-A296-F6C701668691,37,b207830691,918285494,OCoLC,z,d,ODN0002309139,z,True,True,,1,1,False
E29B55CF-2821-4266-AE63-3ACD9AF04385,37,b20783085x,918287456,OCoLC,z,d,ODN0002309338,z,True,True,,1,1,False
FD5DF4E9-327C-4CD0-B2AC-7C559E103696,37,b207830952,918287981,OCoLC,z,d,ODN0002309137,z,True,True,,1,1,False
B69602FC-D648-439E-9E88-E3383EC19BF6,37,b207830988,918288508,OCoLC,z,d,ODN0002309436,z,True,True,,1,1,False
340125B2-4806-40F3-A763-76994CF8CF6D,37,b207831038,918289261,OCoLC,z,d,ODN0002307518,z,True,True,,1,1,False
